ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,card
264012,32,Sophia Wilson,F,88,92,87,79,89,45,81,91,92,88,89,86,86,84,80,73,74,72,88,75,74,89,85,86,88,91,80,43,79,41,42,39,92,85,83,68,ST,5,4,Right,"164cm / 5'5""",58kg / 128lb,"['LW', 'CAM']",25,United States,NWSL,Portland Thorns,"['First Touch+', 'Finesse Shot', 'Low Driven Shot', 'Quick Step', 'Technical', 'Trickster']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sophia-wilson/264012,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/264012_en.webp
227323,33,Guro Reiten,F,88,88,82,85,87,60,69,87,88,86,83,81,83,61,89,92,87,80,83,80,80,84,91,90,88,88,88,65,50,60,60,57,71,91,61,60,LM,3,4,Left,"167cm / 5'6""",60kg / 132lb,"['LW', 'CAM']",31,Norway,Barclays WSL,Chelsea,"['Rapid+', 'Dead Ball', 'Finesse Shot', 'Incisive Pass', 'Quick Step', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/guro-reiten/227323,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227323_en.webp
241846,36,Ewa Pajor,F,88,87,88,64,88,22,71,88,87,91,92,87,79,89,89,47,72,66,75,51,64,88,90,83,84,90,89,20,77,18,12,10,90,82,82,24,ST,3,3,Right,"168cm / 5'6""",59kg / 130lb,"['LW', 'LM']",29,Poland,Liga F Moeve,FC Barcelona,"['Finesse Shot+', 'Gamechanger', 'Low Driven Shot', 'Precision Header', 'Rapid']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ewa-pajor/241846,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241846_en.webp
245956,39,Christiane Endler,F,88,88,82,84,89,42,89,46,35,10,15,63,17,8,13,15,69,11,31,35,18,15,39,42,83,22,45,16,13,15,11,12,60,41,46,21,GK,3,1,Left,"183cm / 6'0""",73kg / 161lb,,34,Chile,Arkema PL,OL Lyonnes,"['Rush Out+', 'Cross Claimer']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christiane-endler/245956,88,82,84,89,89,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245956_en.webp
226893,40,Debinha,F,88,85,79,86,91,46,75,85,85,87,78,80,78,86,73,80,90,77,87,85,89,93,90,94,77,91,84,49,56,49,39,44,75,90,70,70,CAM,5,5,Right,"155cm / 5'1""",52kg / 115lb,"['RW', 'CM']",34,Brazil,NWSL,KC Current,"['Trickster+', 'Acrobatic', 'First Touch', 'Gamechanger', 'Low Driven Shot', 'Quick Step', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/debinha/226893,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226893_en.webp
227190,42,Irene Paredes,F,88,71,52,67,68,88,84,69,72,39,51,60,46,60,51,59,51,40,83,68,69,57,66,70,91,80,80,88,85,91,87,86,82,72,88,87,CB,3,2,Right,"178cm / 5'10""",67kg / 148lb,,34,Spain,Liga F Moeve,FC Barcelona,"['Bruiser+', 'Aerial Fortress', 'Jockey', 'Long Ball Pass', 'Slide Tackle']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/irene-paredes/227190,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227190_en.webp
257001,46,Chloe Kelly,F,87,88,84,85,84,43,69,88,88,82,85,92,79,71,80,87,83,81,86,82,86,85,87,76,83,84,81,50,50,44,38,38,76,77,75,40,RM,4,4,Right,"168cm / 5'6""",58kg / 128lb,['RW'],28,England,Barclays WSL,Arsenal,"['Dead Ball', 'Inventive', 'Quick Step', 'Technical', 'Trickster', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chloe-kelly/257001,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257001_en.webp
231432,48,Lindsey Heaps,F,87,76,84,87,84,64,80,78,75,87,83,89,86,83,70,79,88,87,91,90,68,85,79,68,87,87,81,71,89,59,62,49,92,85,84,63,CAM,3,4,Right,"175cm / 5'9""",67kg / 148lb,['CM'],31,United States,Arkema PL,OL Lyonnes,"['Incisive Pass+', 'Aerial Fortress', 'Dead Ball', 'Finesse Shot', 'Inventive', 'Power Shot', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lindsey-heaps/231432,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231432_en.webp
227246,49,Lucy Bronze,F,87,71,68,82,80,87,87,70,71,73,55,85,79,66,62,87,74,72,86,81,82,79,73,70,85,84,87,85,82,88,88,85,83,82,92,82,RB,3,3,Right,"172cm / 5'8""",70kg / 154lb,['RM'],34,England,Barclays WSL,Chelsea,"['Jockey+', 'Block', 'Long Throw', 'Relentless']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucy-bronze/227246,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227246_en.webp
232075,53,Rose Lavelle,F,87,85,81,84,87,60,64,84,85,87,85,74,82,68,74,74,88,69,91,85,72,90,79,85,86,88,79,79,44,41,74,52,63,86,54,63,CM,4,4,Left,"163cm / 5'4""",56kg / 123lb,['CAM'],30,United States,NWSL,Gotham FC,"['Pinged Pass+', 'Finesse Shot', 'First Touch', 'Gamechanger', 'Incisive Pass', 'Technical', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rose-lavelle/232075,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232075_en.webp
233662,56,Sakina Karchaoui,F,87,89,76,87,88,77,69,92,87,85,71,88,81,59,70,86,88,75,89,87,81,89,91,85,84,88,88,82,66,76,80,76,76,90,57,72,CM,4,5,Left,"160cm / 5'3""",55kg / 121lb,"['LW', 'LB', 'CAM']",30,France,Arkema PL,Paris SG,"['Intercept', 'Inventive', 'Jockey', 'Quick Step', 'Relentless', 'Technical', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sakina-karchaoui/233662,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233662_en.webp
246426,59,Leah Williamson,F,87,74,48,73,72,88,77,73,75,31,50,48,46,45,50,60,63,67,83,88,60,61,73,73,88,85,82,86,85,90,89,88,86,73,77,81,CB,3,3,Right,"170cm / 5'7""",57kg / 126lb,['CDM'],29,England,Barclays WSL,Arsenal,"['Anticipate+', 'Bruiser', 'Jockey', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leah-williamson/246426,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246426_en.webp
245802,60,Beth Mead,F,87,82,84,84,87,67,73,83,81,85,84,88,87,73,68,87,86,88,84,74,81,88,74,84,89,91,82,73,68,61,69,68,85,81,84,31,RM,4,5,Right,"163cm / 5'4""",58kg / 128lb,['RW'],30,England,Barclays WSL,Arsenal,"['First Touch+', 'Gamechanger', 'Technical', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/beth-mead/245802,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245802_en.webp
232073,61,Mallory Swanson,F,87,88,82,81,85,42,70,87,88,88,85,81,80,70,75,76,86,76,85,77,73,85,83,88,85,86,78,43,68,36,41,39,77,87,61,70,LM,5,4,Right,"163cm / 5'4""",54kg / 119lb,"['ST', 'LW']",27,United States,NWSL,Chicago Stars FC,"['Finesse Shot', 'First Touch', 'Quick Step', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mallory-swanson/232073,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232073_en.webp
227310,65,Ada Hegerberg,F,87,72,86,76,85,39,79,71,73,89,89,82,85,86,84,68,76,75,82,72,79,90,74,45,87,89,85,23,91,41,33,30,90,75,85,65,ST,4,4,Right,"176cm / 5'9""",68kg / 150lb,,30,Norway,Arkema PL,OL Lyonnes,"['Precision Header+', 'Enforcer', 'First Touch', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ada-hegerberg/227310,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227310_en.webp
257008,69,Lauren Hemp,F,87,91,77,84,87,63,70,92,91,83,78,83,70,69,68,92,83,80,81,79,86,88,90,91,86,87,70,69,63,56,69,57,78,88,63,62,LW,3,4,Left,"164cm / 5'5""",59kg / 130lb,['LM'],25,England,Barclays WSL,Manchester City,"['Rapid+', 'Finesse Shot', 'First Touch', 'Quick Step', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lauren-hemp/257008,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257008_en.webp
238257,71,Millie Bright,F,87,57,51,70,62,87,88,51,61,38,51,63,46,35,59,50,57,52,86,86,51,59,33,48,84,70,85,82,89,91,88,79,86,79,93,88,CB,4,2,Right,"178cm / 5'10""",76kg / 168lb,,32,England,Barclays WSL,Chelsea,"['Bruiser+', 'Aerial Fortress', 'Anticipate']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/millie-bright/238257,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238257_en.webp
265239,73,Katie McCabe,F,87,80,81,82,83,83,82,81,79,79,79,90,80,69,74,89,68,78,87,79,84,80,88,81,80,85,84,83,75,90,81,79,83,92,73,94,LB,3,4,Left,"164cm / 5'5""",55kg / 121lb,"['LW', 'LM']",30,Republic of Ireland,Barclays WSL,Arsenal,"['Bruiser', 'Long Throw', 'Rapid', 'Slide Tackle', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/katie-mc-cabe/265239,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/265239_en.webp
227125,76,Sam Kerr,F,87,80,87,74,89,42,83,80,80,86,91,84,84,91,71,70,79,68,77,67,76,90,89,80,80,90,91,24,93,44,39,30,87,87,81,80,ST,4,4,Right,"168cm / 5'6""",66kg / 146lb,,32,Australia,Barclays WSL,Chelsea,"['Acrobatic+', 'Enforcer', 'Finesse Shot', 'Quick Step', 'Rapid']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sam-kerr/227125,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227125_en.webp
258310,80,Ann-Katrin Berger,F,86,86,84,81,87,45,81,40,52,9,25,61,29,20,45,27,66,30,60,58,30,30,38,40,85,41,67,25,24,28,24,25,69,29,67,40,GK,4,1,Right,"180cm / 5'11""",63kg / 139lb,,35,Germany,NWSL,Gotham FC,"['Cross Claimer+', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ann-katrin-berger/258310,86,84,81,81,87,https://ratings-images-prod.pulse.ea.com/FC26/components/items/258310_en.webp
237197,82,Grace Geyoro,F,86,89,73,82,83,82,80,89,89,80,75,74,71,52,74,70,83,65,89,86,72,82,76,82,87,86,79,88,64,80,88,80,83,93,77,71,CM,3,3,Right,"168cm / 5'6""",61kg / 134lb,"['CAM', 'CDM']",28,France,Barclays WSL,London City,"['Relentless+', 'Anticipate', 'Incisive Pass', 'Inventive']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/grace-geyoro/237197,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237197_en.webp
262531,84,Claudia Pina,F,86,79,86,83,87,45,71,78,79,86,87,84,91,88,64,84,84,85,86,75,81,88,83,84,85,88,81,37,69,31,55,51,71,76,69,69,LW,5,4,Right,"160cm / 5'3""",68kg / 150lb,"['ST', 'LM']",24,Spain,Liga F Moeve,FC Barcelona,"['Low Driven Shot+', 'Dead Ball', 'Finesse Shot', 'Gamechanger', 'Incisive Pass', 'Technical', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/claudia-pina/262531,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/262531_en.webp
248822,89,Klara Bühl,F,86,84,84,81,84,34,74,83,84,84,86,83,84,78,71,85,81,73,83,77,71,83,89,81,84,86,76,41,77,34,21,20,88,83,78,48,LM,5,4,Right,"173cm / 5'8""",65kg / 143lb,['LW'],25,Germany,GPFBL,FC Bayern München,"['Dead Ball', 'Finesse Shot', 'Incisive Pass', 'Jockey', 'Low Driven Shot', 'Press Proven', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/klara-buhl/248822,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/248822_en.webp
253436,91,Ona Batlle,F,86,80,54,79,79,81,72,82,79,66,62,53,40,46,47,85,74,40,86,77,77,77,82,85,84,80,82,81,59,84,84,83,73,91,62,72,RB,4,3,Right,"160cm / 5'3""",49kg / 108lb,"['LB', 'RM']",26,Spain,Liga F Moeve,FC Barcelona,"['Jockey', 'Rapid', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ona-batlle/253436,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/253436_en.webp
244302,94,Lea Schüller,F,86,87,83,71,82,33,74,85,88,91,92,78,72,73,72,66,72,65,77,61,78,80,86,78,87,86,74,31,87,24,26,27,91,82,75,55,ST,3,3,Right,"173cm / 5'8""",62kg / 137lb,,28,Germany,GPFBL,FC Bayern München,"['Low Driven Shot', 'Precision Header', 'Quick Step']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lea-schuller/244302,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/244302_en.webp
265898,98,Melchie Dumornay,F,86,93,85,78,87,60,71,92,94,83,89,87,80,74,69,70,79,75,83,73,86,86,92,85,81,88,84,59,77,52,64,53,89,73,74,55,ST,4,4,Right,"160cm / 5'3""",51kg / 112lb,['CAM'],22,Haiti,Arkema PL,OL Lyonnes,"['Gamechanger+', 'Chip Shot', 'Finesse Shot', 'Incisive Pass', 'Quick Step', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/melchie-dumornay/265898,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/265898_en.webp
259287,99,Pernille Harder,F,86,81,80,80,88,27,78,80,82,86,82,79,78,73,78,72,85,69,84,78,71,90,90,73,81,88,90,21,79,21,22,23,88,78,81,66,CAM,4,4,Right,"169cm / 5'7""",60kg / 132lb,"['ST', 'RM']",33,Denmark,GPFBL,FC Bayern München,"['Technical+', 'Gamechanger', 'Incisive Pass', 'Power Shot', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pernille-harder/259287,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/259287_en.webp
279799,102,Temwa Chawinga,F,86,91,82,77,83,46,83,92,90,87,89,76,76,70,68,75,78,65,84,75,53,82,84,75,87,87,75,43,60,34,60,35,88,78,91,70,LW,4,4,Left,"168cm / 5'6""",62kg / 137lb,"['LM', 'RM']",27,Malawi,NWSL,KC Current,"['First Touch', 'Low Driven Shot', 'Rapid']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/temwa-chawinga/279799,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/279799_en.webp
265674,105,Selma Bacha,F,85,88,73,85,82,78,80,92,85,80,65,92,78,49,60,90,79,81,87,80,88,80,94,90,76,81,84,80,58,76,84,82,80,91,72,85,LB,3,4,Left,"161cm / 5'3""",58kg / 128lb,"['LW', 'LM']",25,France,Arkema PL,OL Lyonnes,"['Whipped Pass+', 'Anticipate', 'Dead Ball', 'Inventive', 'Quick Step', 'Relentless', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/selma-bacha/265674,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/265674_en.webp
246641,106,Chiamaka Nnadozie,F,85,87,80,80,88,63,84,63,62,14,11,60,9,7,13,12,55,13,29,22,14,17,48,42,75,21,57,23,12,22,13,10,71,36,61,35,GK,3,1,Right,"180cm / 5'11""",69kg / 152lb,,25,Nigeria,Barclays WSL,Brighton,"['Footwork+', 'Deflector', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chiamaka-nnadozie/246641,87,80,80,84,88,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246641_en.webp
243404,110,Georgia Stanway,F,85,80,79,80,86,77,77,83,78,77,79,77,82,68,82,60,84,71,90,86,69,88,85,85,85,86,69,77,43,83,82,80,69,84,70,87,CDM,3,3,Right,"164cm / 5'5""",61kg / 134lb,,27,England,GPFBL,FC Bayern München,"['Pinged Pass+', 'First Touch', 'Jockey', 'Long Ball Pass', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/georgia-stanway/243404,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243404_en.webp
245882,111,Erin Cuthbert,F,85,79,80,84,83,80,73,77,80,83,81,79,86,68,66,79,86,77,88,86,76,86,62,87,85,86,81,83,59,79,86,82,73,85,69,70,CDM,3,4,Right,"163cm / 5'4""",60kg / 132lb,['CM'],27,Scotland,Barclays WSL,Chelsea,"['Pinged Pass+', 'Anticipate', 'Long Ball Pass', 'Power Shot', 'Press Proven', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erin-cuthbert/245882,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245882_en.webp
227095,112,Manuela Giugliano,F,85,81,80,84,86,72,74,80,82,84,81,79,81,70,72,78,86,82,87,84,80,85,89,90,83,87,76,77,47,74,76,70,68,88,64,83,CM,4,4,Right,"160cm / 5'3""",51kg / 112lb,"['CDM', 'CAM']",28,Italy,Calcio A Femminile,Roma,"['Long Ball Pass', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/manuela-giugliano/227095,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227095_en.webp
245872,114,Kim Little,F,85,76,75,85,88,78,70,79,74,87,70,85,73,82,78,78,87,65,90,87,77,88,90,88,89,89,84,79,57,76,87,77,71,89,60,70,CDM,4,3,Right,"162cm / 5'4""",57kg / 126lb,['CM'],35,Scotland,Barclays WSL,Arsenal,"['Press Proven+', 'Aerial Fortress', 'Incisive Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kim-little/245872,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245872_en.webp
261733,115,Sandy Baltimore,F,85,87,74,84,86,72,69,91,83,83,74,73,78,62,74,85,85,71,85,80,90,87,81,91,72,88,80,75,46,73,77,75,68,74,71,58,LM,3,4,Left,"156cm / 5'1""",62kg / 137lb,"['LB', 'LW']",26,France,Barclays WSL,Chelsea,"['Incisive Pass', 'Inventive', 'Quick Step', 'Technical', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sandy-baltimore/261733,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/261733_en.webp
245697,118,Clara Mateo,F,85,87,86,80,84,56,75,86,87,86,90,83,85,75,72,73,83,74,85,79,76,85,81,78,80,86,85,60,81,44,59,48,88,92,72,60,ST,3,4,Right,"168cm / 5'6""",60kg / 132lb,['CAM'],28,France,Arkema PL,Paris FC,"['Chip Shot+', 'Finesse Shot', 'First Touch', 'Gamechanger', 'Low Driven Shot', 'Relentless']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/clara-mateo/245697,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245697_en.webp
245830,119,Yui Hasegawa,F,85,77,71,85,86,81,63,74,79,64,67,73,82,68,63,76,89,71,90,88,68,88,82,88,84,86,78,86,48,87,83,75,60,79,51,73,CDM,4,4,Right,"156cm / 5'1""",48kg / 106lb,"['CM', 'CAM']",29,Japan,Barclays WSL,Manchester City,"['Intercept+', 'Inventive', 'Press Proven', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yui-hasegawa/245830,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245830_en.webp
245879,120,Caroline Weir,F,85,72,83,84,84,69,69,72,72,84,83,86,86,70,61,74,87,84,89,81,83,85,70,88,84,85,85,73,60,75,65,63,71,83,65,62,CAM,4,4,Left,"173cm / 5'8""",62kg / 137lb,"['CM', 'CDM']",30,Scotland,Liga F Moeve,Real Madrid,"['Chip Shot', 'Finesse Shot', 'First Touch', 'Incisive Pass', 'Inventive', 'Technical', 'Trickster']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caroline-weir/245879,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245879_en.webp
266928,126,Trinity Rodman,F,85,91,81,78,83,43,82,90,92,82,83,82,80,71,76,79,84,68,81,67,71,81,87,83,84,86,80,41,69,38,42,38,87,84,81,80,RM,4,4,Right,"173cm / 5'8""",60kg / 132lb,"['ST', 'RW']",23,United States,NWSL,Washington Spirit,"['Quick Step+', 'Aerial Fortress', 'Finesse Shot', 'Inventive', 'Rapid', 'Relentless', 'Trickster']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/trinity-rodman/266928,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/266928_en.webp
